1,3,16,14
2,12,3,6
12,3,1,15
16,6,1,4
9,15,4,14
10,14,0,12
9,10,12,15
6,12,18,4
4,21,12,16
11,3,21,1
16,8,18,20
21,20,10,17
4,19,21,10
11,16,0,1
5,16,1,12
7,9,3,0
3,17,6,21
18,0,14,14
17,12,4,10
1,2,5,19
15,13,2,3
12,5,21,2
14,17,15,2
14,10,11,6
20,10,15,16
0,10,16,13
6,3,15,9
21,5,13,19
15,16,18,2
16,13,18,5
9,15,7,0
14,11,3,17
7,1,6,6
21,11,20,14
13,18,0,10
19,6,0,17
17,4,12,0
14,0,18,1
10,21,14,0
17,19,2,15
19,12,11,16
10,9,4,8
15,12,0,8
15,16,0,1
0,13,13,18
1,17,12,6
2,16,10,4
2,3,17,9
17,18,15,20
1,19,4,10
9,1,0,0
19,6,18,14
2,14,4,12
8,2,2,13
5,14,6,15
10,20,7,6
17,9,13,3
12,13,14,19
5,4,21,3
21,14,14,17
9,15,19,0
4,10,13,15
18,20,21,17
18,10,12,20
11,17,17,2
0,21,2,1
8,20,19,9
17,3,3,3
7,15,1,6
2,18,15,10
7,2,14,20
9,11,13,12
0,12,19,6
13,2,16,21
19,12,10,13
18,0,12,12
8,9,3,11
6,20,14,11
1,0,16,20
12,16,9,0
8,11,12,14
16,18,1,5
13,14,8,19
21,3,5,13
13,12,6,8
7,20,17,8
3,10,11,14
4,15,17,2
19,6,17,0
4,2,8,13
12,0,12,1
2,17,3,16
21,20,14,19
12,0,16,10
18,13,4,9
15,16,21,9
12,7,20,10
17,17,0,14
18,11,17,19
21,1,9,10
2,0,9,6
16,10,2,1
15,4,13,11
11,20,6,9
6,14,15,9
15,1,13,6
3,10,9,0
19,18,7,14
12,14,10,0
3,6,1,18
12,8,0,16
14,1,13,20
14,19,19,20
16,0,15,7
0,12,10,10
13,5,17,16
20,21,0,16
3,8,13,3
0,6,18,5
11,1,0,21
19,0,0,17
4,10,12,8
1,15,16,20
18,8,1,20
19,9,2,3
18,1,21,2
9,0,1,3
6,1,18,1
3,18,6,6
14,8,15,15
6,13,19,13
10,20,5,21
13,4,11,1
16,17,17,13
0,1,4,10
18,13,4,7
13,15,3,20
14,1,16,10
15,16,9,13
12,18,21,4
5,7,12,0
0,21,12,19
21,12,8,17
6,2,18,5
19,13,1,10
14,3,7,0
10,4,14,18
0,2,21,21
3,17,21,11
1,3,3,20
20,9,15,4
17,10,0,6
17,21,9,1
6,16,20,18
9,19,11,8
4,4,16,12
15,0,19,9
0,0,19,21
3,9,11,20
0,5,5,0
3,20,3,20
20,14,14,16
21,13,15,16
8,4,10,2
18,8,10,3
19,0,2,15
21,20,7,10
15,17,0,18
1,4,15,9
21,9,8,11
11,14,4,1
7,1,9,0
0,10,6,12
13,6,17,9
20,6,16,8
13,20,20,4
15,10,20,4
5,4,6,12
16,0,18,17
0,19,6,2
21,6,20,4
16,19,7,9
12,8,6,20
10,20,8,18
4,9,21,13
1,20,21,15
7,9,7,4
0,18,5,12
20,6,19,21
6,8,7,8
4,21,19,17
17,9,12,18
7,2,19,3
6,13,9,18
12,15,21,13
21,6,17,12
