0,0,20,14
0,5,15,0
15,19,0,0
20,0,0,20
3,0,20,17
0,5,2,11
15,4,1,0
7,12,15,0
0,17,6,5
10,0,8,20
0,6,14,5
12,19,8,0
15,6,0,5
11,17,16,0
17,0,3,16
12,0,17,10
0,11,6,7
12,18,11,0
10,13,0,19
15,0,11,9
0,7,18,6
0,12,19,5
10,2,0,17
17,5,0,5
20,0,15,17
11,0,10,14
8,18,7,0
0,5,2,17
16,21,12,0
13,20,0,2
13,5,0,13
10,20,0,6
8,0,12,3
0,14,8,12
1,21,12,0
9,17,0,20
3,6,17,19
16,20,14,15
6,18,10,4
1,13,5,1
11,17,10,1
14,17,13,18
18,2,11,19
14,1,8,15
11,9,8,17
10,6,10,17
2,17,13,5
1,21,17,15
14,2,9,17
6,5,15,4
3,10,15,14
7,19,10,16
8,7,10,7
19,9,10,9
15,15,10,9
15,2,3,21
21,1,9,21
15,16,14,19
8,17,11,9
17,4,12,9
3,3,3,13
15,17,19,19
18,14,1,2
16,1,1,20
3,14,20,10
10,4,7,21
3,6,17,19
10,10,18,21
1,15,18,9
5,4,9,7
13,14,15,2
18,15,13,6
10,10,16,13
12,7,5,9
9,14,1,4
8,15,12,16
2,9,11,17
20,20,3,1
18,21,11,2
2,19,13,20
7,19,3,2
9,15,19,14
12,9,3,3
11,16,18,10
5,14,4,15
6,3,7,1
3,9,11,18
7,20,10,12
17,19,15,4
11,1,10,17
11,14,7,18
13,16,11,19
6,17,21,14
11,9,3,6
10,13,16,14
10,1,11,1
19,9,6,15
11,2,2,14
19,7,15,6
4,19,6,7
