9,0,13,1
16,19,6,9
6,3,14,17
10,19,7,0
16,19,4,8
9,7,1,7
1,10,12,19
19,17,14,7
7,14,9,16
21,4,7,15
0,13,18,0
14,17,6,10
13,3,10,4
7,1,11,15
2,0,14,5
7,10,11,20
9,21,0,21
2,16,16,5
11,7,14,20
10,15,0,13
14,4,10,16
5,1,5,9
15,14,19,8
13,4,6,7
5,5,8,7
0,16,20,19
16,4,20,18
11,2,10,9
14,21,5,4
0,2,9,15
8,5,0,13
1,11,8,7
20,9,20,12
11,4,19,7
12,17,17,13
20,10,3,19
11,3,1,2
6,13,1,10
13,0,19,21
8,19,11,3
3,7,17,12
11,21,15,19
16,18,21,13
6,18,11,5
20,11,13,10
14,2,17,2
18,12,1,3
17,2,9,11
4,19,16,16
11,9,20,13
8,10,20,16
13,1,4,10
5,13,10,17
9,7,5,19
10,1,11,17
10,7,3,16
8,21,0,13
5,18,6,0
0,11,15,11
11,4,9,5
21,11,0,5
6,17,6,1
0,11,15,4
17,0,2,14
3,5,14,18
20,1,10,8
0,12,7,20
5,0,13,8
4,7,11,21
2,16,5,21
6,7,16,7
8,16,5,0
6,21,2,19
16,8,8,17
7,20,13,14
13,9,20,0
14,12,21,4
14,3,15,9
9,6,0,15
19,0,5,20
21,5,20,0
3,15,1,7
18,7,10,0
20,8,9,6
20,13,0,0
0,0,14,9
0,15,11,13
19,18,2,16
11,19,14,12
13,0,9,6
14,0,0,5
15,8,17,12
11,20,7,10
20,18,8,1
16,10,19,18
2,15,8,11
4,6,18,1
13,0,17,1
3,8,20,3
7,10,2,4
8,5,16,18
5,13,3,20
9,16,19,4
10,12,20,6
10,19,14,18
10,10,2,18
10,16,2,15
17,13,0,11
17,15,6,1
4,9,5,14
15,12,13,4
16,5,0,6
8,20,10,13
5,7,8,10
2,5,8,2
20,20,13,0
1,14,2,3
0,20,16,16
1,18,4,7
6,14,7,5
15,20,3,19
20,4,4,16
20,6,10,14
0,9,11,12
0,4,14,2
6,8,21,0
11,1,1,17
1,16,16,5
1,0,13,1
17,13,0,21
14,0,1,20
14,8,6,8
11,13,8,0
0,19,20,11
1,6,6,18
2,6,21,10
2,5,5,8
19,4,7,4
8,18,9,2
5,1,11,6
21,2,11,4
7,17,11,0
19,16,16,19
9,5,0,5
