4,7,1,19
19,0,0,8
20,20,9,6
14,6,3,8
18,19,11,2
13,17,20,3
12,6,6,6
8,7,17,9
2,6,6,0
19,20,14,18
1,11,0,3
9,12,5,13
3,9,1,6
9,16,18,0
16,13,18,3
3,8,2,21
15,0,16,12
1,18,15,2
0,7,8,18
5,9,5,18
15,12,1,15
20,18,10,12
20,2,13,2
0,2,16,13
14,15,20,20
5,19,13,13
20,9,5,15
19,15,20,5
20,20,7,0
18,18,0,0
8,6,19,7
14,18,3,12
11,5,14,17
18,0,12,9
5,16,3,18
5,9,18,16
7,2,5,0
17,8,0,11
0,13,3,5
5,4,5,10
0,0,8,10
0,10,12,7
18,1,0,18
8,0,18,6
0,5,20,0
2,20,0,16
12,0,11,9
16,0,19,7
0,11,5,2
0,18,4,11
3,3,20,20
1,21,18,9
18,11,14,16
6,9,5,20
17,10,3,11
13,2,19,19
3,3,0,20
19,16,0,1
11,0,15,4
3,10,17,21
10,21,19,9
5,12,8,10
5,3,2,0
6,13,9,0
